GEO,Year,region,decile,Type,value,UOM
Iran,87,Total,8,Total Expenditure per capita,3120426.278,Rials per month
Iran,87,Total,4,Total Expenditure per capita,1418724.45,Rials per month
Iran,87,Total,3,Total Expenditure per capita,1149640.778,Rials per month
Iran,87,Total,1,Total Expenditure per capita,537394.9143,Rials per month
Iran,87,Total,6,Total Expenditure per capita,2057419.347,Rials per month
Iran,87,Total,9,Total Expenditure per capita,4193003.065,Rials per month
Iran,87,Total,10,Total Expenditure per capita,9247718.858,Rials per month
Iran,87,Total,7,Total Expenditure per capita,2497223.198,Rials per month
Iran,87,Total,5,Total Expenditure per capita,1708010.701,Rials per month
Iran,87,Total,2,Total Expenditure per capita,887439.0813,Rials per month
Iran,87,Urban,8,Total Expenditure per capita,3122225.247,Rials per month
Iran,87,Urban,4,Total Expenditure per capita,1424410.65,Rials per month
Iran,87,Urban,3,Total Expenditure per capita,1152621.32,Rials per month
Iran,87,Urban,1,Total Expenditure per capita,565733.352,Rials per month
Iran,87,Urban,6,Total Expenditure per capita,2062004.47,Rials per month
Iran,87,Urban,9,Total Expenditure per capita,4195100.062,Rials per month
Iran,87,Urban,10,Total Expenditure per capita,9359020.677,Rials per month
Iran,87,Urban,7,Total Expenditure per capita,2498729.315,Rials per month
Iran,87,Urban,5,Total Expenditure per capita,1709679.446,Rials per month
Iran,87,Urban,2,Total Expenditure per capita,893202.9779,Rials per month
Iran,87,Rural,9,Total Expenditure per capita,4180525.415,Rials per month
Iran,87,Rural,4,Total Expenditure per capita,1408068.986,Rials per month
Iran,87,Rural,1,Total Expenditure per capita,523535.3285,Rials per month
Iran,87,Rural,2,Total Expenditure per capita,882010.7936,Rials per month
Iran,87,Rural,3,Total Expenditure per capita,1145622.55,Rials per month
Iran,87,Rural,6,Total Expenditure per capita,2044108.438,Rials per month
Iran,87,Rural,7,Total Expenditure per capita,2491220.31,Rials per month
Iran,87,Rural,5,Total Expenditure per capita,1704044.271,Rials per month
Iran,87,Rural,8,Total Expenditure per capita,3111972.747,Rials per month
Iran,87,Rural,10,Total Expenditure per capita,8279429.06,Rials per month
Iran,88,Total,6,Total Expenditure per capita,2366692.576,Rials per month
Iran,88,Total,5,Total Expenditure per capita,1994452.651,Rials per month
Iran,88,Total,4,Total Expenditure per capita,1658335.79,Rials per month
Iran,88,Total,3,Total Expenditure per capita,1345852.497,Rials per month
Iran,88,Total,10,Total Expenditure per capita,9357865.706,Rials per month
Iran,88,Total,8,Total Expenditure per capita,3558583.85,Rials per month
Iran,88,Total,9,Total Expenditure per capita,4699381.792,Rials per month
Iran,88,Total,2,Total Expenditure per capita,1033784.489,Rials per month
Iran,88,Total,7,Total Expenditure per capita,2862821.207,Rials per month
Iran,88,Total,1,Total Expenditure per capita,608359.7603,Rials per month
Iran,88,Urban,6,Total Expenditure per capita,2366382.684,Rials per month
Iran,88,Urban,5,Total Expenditure per capita,1995556.519,Rials per month
Iran,88,Urban,4,Total Expenditure per capita,1658450.671,Rials per month
Iran,88,Urban,3,Total Expenditure per capita,1346367.356,Rials per month
Iran,88,Urban,10,Total Expenditure per capita,9440398.738,Rials per month
Iran,88,Urban,8,Total Expenditure per capita,3559287.04,Rials per month
Iran,88,Urban,9,Total Expenditure per capita,4709272.51,Rials per month
Iran,88,Urban,2,Total Expenditure per capita,1036582.594,Rials per month
Iran,88,Urban,7,Total Expenditure per capita,2866969.864,Rials per month
Iran,88,Urban,1,Total Expenditure per capita,636523.2274,Rials per month
Iran,88,Rural,5,Total Expenditure per capita,1991912.708,Rials per month
