GEO,Year,decile,Type,variable,value
Iran,87,1,Expenditure,food,41.12588963
Iran,87,2,Expenditure,food,36.47370997
Iran,87,3,Expenditure,food,33.97531651
Iran,87,4,Expenditure,food,31.0870418
Iran,87,5,Expenditure,food,28.77059227
Iran,87,6,Expenditure,food,27.2171335
Iran,87,7,Expenditure,food,24.82332138
Iran,87,8,Expenditure,food,23.27134265
Iran,87,9,Expenditure,food,19.63371346
Iran,87,10,Expenditure,food,13.59417588
Iran,88,1,Expenditure,food,39.34748808
Iran,88,2,Expenditure,food,34.12808723
Iran,88,3,Expenditure,food,30.92161201
Iran,88,4,Expenditure,food,27.66387917
Iran,88,5,Expenditure,food,26.34043946
Iran,88,6,Expenditure,food,24.92234309
Iran,88,7,Expenditure,food,23.70684759
Iran,88,8,Expenditure,food,21.14373272
Iran,88,9,Expenditure,food,19.17570277
Iran,88,10,Expenditure,food,14.04105095
Iran,89,1,Expenditure,food,41.07004139
Iran,89,2,Expenditure,food,36.42000146
Iran,89,3,Expenditure,food,32.80698487
Iran,89,4,Expenditure,food,30.06454528
Iran,89,5,Expenditure,food,27.47910187
Iran,89,6,Expenditure,food,26.04562737
Iran,89,7,Expenditure,food,24.03725196
Iran,89,8,Expenditure,food,21.98874703
Iran,89,9,Expenditure,food,19.71430269
Iran,89,10,Expenditure,food,14.04902819
Iran,90,1,Expenditure,food,44.17651747
Iran,90,2,Expenditure,food,39.13764696
Iran,90,3,Expenditure,food,35.95485666
Iran,90,4,Expenditure,food,33.00332656
Iran,90,5,Expenditure,food,31.15003076
Iran,90,6,Expenditure,food,29.00430544
Iran,90,7,Expenditure,food,26.73826977
Iran,90,8,Expenditure,food,24.80421248
Iran,90,9,Expenditure,food,21.54973524
Iran,90,10,Expenditure,food,15.34314182
Iran,91,1,Expenditure,food,45.46712936
Iran,91,2,Expenditure,food,40.22319754
Iran,91,3,Expenditure,food,37.91154317
Iran,91,4,Expenditure,food,35.18872182
Iran,91,5,Expenditure,food,33.21416362
Iran,91,6,Expenditure,food,30.93911772
Iran,91,7,Expenditure,food,29.56678646
Iran,91,8,Expenditure,food,27.76142951
Iran,91,9,Expenditure,food,24.53557775
Iran,91,10,Expenditure,food,18.09507631
Iran,92,1,Expenditure,food,45.98042006
Iran,92,2,Expenditure,food,41.69479191
Iran,92,3,Expenditure,food,38.25717952
Iran,92,4,Expenditure,food,35.81184543
Iran,92,5,Expenditure,food,34.10236496
Iran,92,6,Expenditure,food,31.72208816
Iran,92,7,Expenditure,food,29.16714683
Iran,92,8,Expenditure,food,26.78469867
Iran,92,9,Expenditure,food,24.42894244
Iran,92,10,Expenditure,food,16.75235774
Iran,93,1,Expenditure,food,44.75701366
Iran,93,2,Expenditure,food,39.32770516
Iran,93,3,Expenditure,food,36.42560401
Iran,93,4,Expenditure,food,33.78614729
Iran,93,5,Expenditure,food,31.45673366
Iran,93,6,Expenditure,food,29.45276429
Iran,93,7,Expenditure,food,27.32783979
Iran,93,8,Expenditure,food,26.10750622
Iran,93,9,Expenditure,food,22.72339215
Iran,93,10,Expenditure,food,16.15089925
Iran,94,1,Expenditure,food,42.96768449
Iran,94,2,Expenditure,food,37.78211542
Iran,94,3,Expenditure,food,35.17851093
Iran,94,4,Expenditure,food,33.0141613
Iran,94,5,Expenditure,food,30.53321073
Iran,94,6,Expenditure,food,28.71705952
Iran,94,7,Expenditure,food,26.7343876
Iran,94,8,Expenditure,food,24.52662411
Iran,94,9,Expenditure,food,22.15040067
Iran,94,10,Expenditure,food,15.96997421
Iran,95,1,Expenditure,food,42.43892158
Iran,95,2,Expenditure,food,37.63708576
Iran,95,3,Expenditure,food,34.45831708
Iran,95,4,Expenditure,food,32.48250822
Iran,95,5,Expenditure,food,30.00148698
Iran,95,6,Expenditure,food,27.93156559
Iran,95,7,Expenditure,food,26.1535606
Iran,95,8,Expenditure,food,23.78354221
Iran,95,9,Expenditure,food,21.55930568
Iran,95,10,Expenditure,food,16.21881312
Iran,96,1,Expenditure,food,41.79081787
Iran,96,2,Expenditure,food,36.37899982
Iran,96,3,Expenditure,food,33.17448508
Iran,96,4,Expenditure,food,31.39733537
Iran,96,5,Expenditure,food,28.93152609
Iran,96,6,Expenditure,food,27.5802053
Iran,96,7,Expenditure,food,25.59656258
Iran,96,8,Expenditure,food,23.8221838
Iran,96,9,Expenditure,food,21.6499782
Iran,96,10,Expenditure,food,15.92419465
Iran,87,1,Expenditure,clothing,3.140492213
Iran,87,2,Expenditure,clothing,3.976295643
Iran,87,3,Expenditure,clothing,4.140799057
Iran,87,4,Expenditure,clothing,4.818260142
Iran,87,5,Expenditure,clothing,4.859291093
Iran,87,6,Expenditure,clothing,5.030041687
Iran,87,7,Expenditure,clothing,4.973627808
Iran,87,8,Expenditure,clothing,5.365150025
Iran,87,9,Expenditure,clothing,5.316611908
Iran,87,10,Expenditure,clothing,4.599008409
Iran,88,1,Expenditure,clothing,2.649785357
Iran,88,2,Expenditure,clothing,3.49276759
Iran,88,3,Expenditure,clothing,3.691325964
Iran,88,4,Expenditure,clothing,3.952253577
Iran,88,5,Expenditure,clothing,4.060319607
Iran,88,6,Expenditure,clothing,4.599930294
Iran,88,7,Expenditure,clothing,4.551491425
Iran,88,8,Expenditure,clothing,4.790731835
Iran,88,9,Expenditure,clothing,5.101116699
Iran,88,10,Expenditure,clothing,4.34344061
Iran,89,1,Expenditure,clothing,2.582633926
Iran,89,2,Expenditure,clothing,3.197244177
Iran,89,3,Expenditure,clothing,3.512905548
Iran,89,4,Expenditure,clothing,3.779342965
Iran,89,5,Expenditure,clothing,3.786449936
Iran,89,6,Expenditure,clothing,4.00859632
Iran,89,7,Expenditure,clothing,4.319308206
Iran,89,8,Expenditure,clothing,4.369508713
Iran,89,9,Expenditure,clothing,4.711992909
Iran,89,10,Expenditure,clothing,4.333192219
Iran,90,1,Expenditure,clothing,2.44501878
Iran,90,2,Expenditure,clothing,3.015257638
Iran,90,3,Expenditure,clothing,3.501387353
Iran,90,4,Expenditure,clothing,3.639695187
Iran,90,5,Expenditure,clothing,3.784315644
Iran,90,6,Expenditure,clothing,3.795316853
Iran,90,7,Expenditure,clothing,4.199886257
Iran,90,8,Expenditure,clothing,4.287935671
Iran,90,9,Expenditure,clothing,4.488957913
Iran,90,10,Expenditure,clothing,3.973618205
Iran,91,1,Expenditure,clothing,2.250142095
Iran,91,2,Expenditure,clothing,3.063179109
Iran,91,3,Expenditure,clothing,3.149875573
Iran,91,4,Expenditure,clothing,3.59919273
Iran,91,5,Expenditure,clothing,3.780204256
Iran,91,6,Expenditure,clothing,4.349561178
Iran,91,7,Expenditure,clothing,4.170218526
Iran,91,8,Expenditure,clothing,4.50958355
Iran,91,9,Expenditure,clothing,5.187152152
Iran,91,10,Expenditure,clothing,4.07929511
Iran,92,1,Expenditure,clothing,2.09385237
Iran,92,2,Expenditure,clothing,2.990204151
Iran,92,3,Expenditure,clothing,3.407095022
Iran,92,4,Expenditure,clothing,3.62131711
Iran,92,5,Expenditure,clothing,4.042005706
Iran,92,6,Expenditure,clothing,4.270775013
Iran,92,7,Expenditure,clothing,4.648335215
Iran,92,8,Expenditure,clothing,4.674200952
Iran,92,9,Expenditure,clothing,5.041500904
Iran,92,10,Expenditure,clothing,4.239618753
Iran,93,1,Expenditure,clothing,1.615618696
Iran,93,2,Expenditure,clothing,2.883115071
Iran,93,3,Expenditure,clothing,3.325099935
Iran,93,4,Expenditure,clothing,3.7017936
Iran,93,5,Expenditure,clothing,3.807620495
Iran,93,6,Expenditure,clothing,4.061701375
Iran,93,7,Expenditure,clothing,4.451226962
Iran,93,8,Expenditure,clothing,4.852909492
Iran,93,9,Expenditure,clothing,4.900672864
Iran,93,10,Expenditure,clothing,4.376503086
Iran,94,1,Expenditure,clothing,1.907369454
Iran,94,2,Expenditure,clothing,2.706825348
Iran,94,3,Expenditure,clothing,3.057265319
Iran,94,4,Expenditure,clothing,3.541716995
Iran,94,5,Expenditure,clothing,3.428168425
Iran,94,6,Expenditure,clothing,3.815768426
Iran,94,7,Expenditure,clothing,4.249009036
Iran,94,8,Expenditure,clothing,4.391849434
Iran,94,9,Expenditure,clothing,4.510904477
Iran,94,10,Expenditure,clothing,4.037865831
Iran,95,1,Expenditure,clothing,1.908081594
Iran,95,2,Expenditure,clothing,2.985771042
Iran,95,3,Expenditure,clothing,3.202654714
Iran,95,4,Expenditure,clothing,3.388106207
Iran,95,5,Expenditure,clothing,3.531685115
Iran,95,6,Expenditure,clothing,3.99449868
Iran,95,7,Expenditure,clothing,3.564756691
Iran,95,8,Expenditure,clothing,4.021001769
Iran,95,9,Expenditure,clothing,4.29979717
Iran,95,10,Expenditure,clothing,3.97435211
Iran,96,1,Expenditure,clothing,2.221504159
Iran,96,2,Expenditure,clothing,2.960196476
Iran,96,3,Expenditure,clothing,3.178243021
