Year,Decile,value,Variable
87,1,33.01188679,Food
87,2,31.42840107,Food
87,3,32.25058583,Food
87,4,31.55372464,Food
87,5,29.78962786,Food
87,6,29.43820584,Food
87,7,29.37378813,Food
87,8,28.77345789,Food
87,9,25.39694077,Food
87,10,21.75438732,Food
88,1,32.70597335,Food
88,2,33.81945705,Food
88,3,31.94892262,Food
88,4,30.15543474,Food
88,5,29.21589377,Food
88,6,28.88299921,Food
88,7,29.94722309,Food
88,8,28.97623513,Food
88,9,28.25488885,Food
88,10,25.46420395,Food
89,1,33.87852051,Food
89,2,33.73896805,Food
89,3,38.90676016,Food
89,4,31.09969842,Food
89,5,36.29344616,Food
89,6,30.28564451,Food
89,7,29.75451236,Food
89,8,28.63188255,Food
89,9,28.5374975,Food
89,10,25.33166238,Food
90,1,37.92228088,Food
90,2,35.99197234,Food
90,3,35.3942447,Food
90,4,35.16339028,Food
90,5,32.66381789,Food
90,6,31.13640998,Food
90,7,31.06009469,Food
90,8,30.01730794,Food
90,9,29.1931538,Food
90,10,26.333431,Food
91,1,36.64545783,Food
91,2,36.8152193,Food
91,3,36.22549266,Food
91,4,35.21852884,Food
91,5,34.10874292,Food
91,6,24.4744109,Food
91,7,32.33233151,Food
91,8,31.15864026,Food
91,9,32.08873254,Food
91,10,30.58504129,Food
92,1,36.2392251,Food
92,2,34.21712942,Food
92,3,34.9995724,Food
92,4,34.80774215,Food
92,5,34.7108184,Food
92,6,34.58175703,Food
92,7,32.26670139,Food
92,8,33.51738097,Food
92,9,31.75720947,Food
92,10,31.12242406,Food
93,1,36.91267399,Food
93,2,35.4956109,Food
93,3,52.80515622,Food
93,4,30.72796548,Food
93,5,32.3332002,Food
93,6,31.45061779,Food
93,7,30.94557988,Food
93,8,29.32186446,Food
93,9,29.89571366,Food
93,10,25.52749189,Food
94,1,34.86316567,Food
94,2,33.99617665,Food
94,3,31.14676004,Food
94,4,31.68422134,Food
94,5,30.40610787,Food
94,6,30.42679214,Food
94,7,29.91318854,Food
94,8,30.9680558,Food
94,9,28.44558349,Food
94,10,26.87053821,Food
95,1,34.00979709,Food
95,2,31.07429148,Food
95,3,30.67775496,Food
95,4,34.07608542,Food
95,5,30.473333,Food
95,6,29.11819179,Food
95,7,29.29446279,Food
95,8,27.87584524,Food
95,9,26.75561284,Food
95,10,24.97356277,Food
96,1,34.41994981,Food
96,2,31.88976458,Food
96,3,29.71634106,Food
96,4,30.30091916,Food
96,5,28.95395855,Food
96,6,28.34725645,Food
96,7,28.02295741,Food
96,8,26.69005258,Food
96,9,26.90284687,Food
96,10,24.12884845,Food
87,1,2.326418098,Cloth and footwear
87,2,3.33224566,Cloth and footwear
87,3,3.710191871,Cloth and footwear
87,4,4.028210373,Cloth and footwear
87,5,4.768894626,Cloth and footwear
87,6,5.034173782,Cloth and footwear
87,7,5.610249824,Cloth and footwear
87,8,6.001929069,Cloth and footwear
87,9,6.439503868,Cloth and footwear
87,10,6.226080827,Cloth and footwear
88,1,1.649583977,Cloth and footwear
88,2,4.089134526,Cloth and footwear
88,3,3.311758032,Cloth and footwear
88,4,3.47096391,Cloth and footwear
88,5,4.119292389,Cloth and footwear
88,6,4.530473689,Cloth and footwear
88,7,5.667525427,Cloth and footwear
88,8,6.23708085,Cloth and footwear
88,9,6.677902244,Cloth and footwear
88,10,7.454087199,Cloth and footwear
89,1,1.672794335,Cloth and footwear
89,2,2.397674825,Cloth and footwear
89,3,4.872379152,Cloth and footwear
89,4,3.302038117,Cloth and footwear
89,5,6.43730339,Cloth and footwear
89,6,4.420066758,Cloth and footwear
89,7,4.719253518,Cloth and footwear
89,8,5.509781707,Cloth and footwear
89,9,6.313087187,Cloth and footwear
89,10,7.406415879,Cloth and footwear
90,1,1.4954203,Cloth and footwear
90,2,2.299121292,Cloth and footwear
90,3,2.928813138,Cloth and footwear
90,4,3.134864577,Cloth and footwear
90,5,3.421943333,Cloth and footwear
90,6,3.841663519,Cloth and footwear
90,7,4.547027048,Cloth and footwear
90,8,4.990934071,Cloth and footwear
90,9,5.475649362,Cloth and footwear
90,10,7.020553146,Cloth and footwear
91,1,1.50846802,Cloth and footwear
91,2,2.211905568,Cloth and footwear
91,3,2.61557209,Cloth and footwear
91,4,2.953276748,Cloth and footwear
91,5,3.861491515,Cloth and footwear
91,6,2.963309961,Cloth and footwear
91,7,4.324957492,Cloth and footwear
91,8,5.050275961,Cloth and footwear
91,9,5.791772944,Cloth and footwear
91,10,7.449276737,Cloth and footwear
92,1,1.475262648,Cloth and footwear
92,2,2.106464465,Cloth and footwear
92,3,2.482401846,Cloth and footwear
92,4,3.157432149,Cloth and footwear
92,5,3.539867645,Cloth and footwear
92,6,4.231784438,Cloth and footwear
92,7,4.68971678,Cloth and footwear
92,8,5.301130169,Cloth and footwear
