Year,GEO,UOM,variable,decile,value
96,Iran,Consumption (Grams) per month per capita,Meat,9,1321.032228
96,Iran,Consumption (Grams) per month per capita,Sugar,9,1822.721249
96,Iran,Consumption (Grams) per month per capita,Fish,9,850.0585279
96,Iran,Consumption (Grams) per month per capita,Yogurt,9,1803.150378
96,Iran,Consumption (Grams) per month per capita,Fruit,9,8402.70539
96,Iran,Consumption (Grams) per month per capita,Chicken,9,2468.777326
96,Iran,Consumption (Grams) per month per capita,Bread,9,9580.595021
96,Iran,Consumption (Grams) per month per capita,Milk,9,3973.942531
96,Iran,Consumption (Grams) per month per capita,Meat,3,611.9456772
96,Iran,Consumption (Grams) per month per capita,Rice,3,3101.242904
96,Iran,Consumption (Grams) per month per capita,Sugar,3,1253.19961
96,Iran,Consumption (Grams) per month per capita,Yogurt,3,1142.563306
96,Iran,Consumption (Grams) per month per capita,Fruit,3,4309.794723
96,Iran,Consumption (Grams) per month per capita,Chicken,3,1640.823482
96,Iran,Consumption (Grams) per month per capita,Bread,3,9995.106713
96,Iran,Consumption (Grams) per month per capita,Milk,3,2714.365509
96,Iran,Consumption (Grams) per month per capita,Meat,6,921.7469312
96,Iran,Consumption (Grams) per month per capita,Rice,6,3948.30267
96,Iran,Consumption (Grams) per month per capita,Sugar,6,1507.683804
96,Iran,Consumption (Grams) per month per capita,Fruit,6,5951.181344
96,Iran,Consumption (Grams) per month per capita,Chicken,6,1959.981828
96,Iran,Consumption (Grams) per month per capita,Bread,6,9894.74912
96,Iran,Consumption (Grams) per month per capita,Milk,6,2852.954115
96,Iran,Consumption (Grams) per month per capita,Meat,8,1085.782784
96,Iran,Consumption (Grams) per month per capita,Rice,8,5214.903889
96,Iran,Consumption (Grams) per month per capita,Sugar,8,1676.0435
96,Iran,Consumption (Grams) per month per capita,Fish,8,741.7441916
96,Iran,Consumption (Grams) per month per capita,Yogurt,8,1591.91284
96,Iran,Consumption (Grams) per month per capita,Fruit,8,7112.190067
96,Iran,Consumption (Grams) per month per capita,Chicken,8,2153.759457
96,Iran,Consumption (Grams) per month per capita,Bread,8,9775.089729
96,Iran,Consumption (Grams) per month per capita,Milk,8,3311.39758
96,Iran,Consumption (Grams) per month per capita,Meat,5,802.6944249
96,Iran,Consumption (Grams) per month per capita,Sugar,5,1451.561595
96,Iran,Consumption (Grams) per month per capita,Fish,5,547.4535369
96,Iran,Consumption (Grams) per month per capita,Yogurt,5,1360.424759
96,Iran,Consumption (Grams) per month per capita,Fruit,5,5485.264625
96,Iran,Consumption (Grams) per month per capita,Chicken,5,1866.825598
96,Iran,Consumption (Grams) per month per capita,Bread,5,10017.52999
96,Iran,Consumption (Grams) per month per capita,Meat,7,950.945781
96,Iran,Consumption (Grams) per month per capita,Rice,7,4555.072425
96,Iran,Consumption (Grams) per month per capita,Sugar,7,1625.001907
96,Iran,Consumption (Grams) per month per capita,Fish,7,678.7180555
96,Iran,Consumption (Grams) per month per capita,Yogurt,7,1529.493102
96,Iran,Consumption (Grams) per month per capita,Fruit,7,6822.374145
96,Iran,Consumption (Grams) per month per capita,Chicken,7,2101.517484
96,Iran,Consumption (Grams) per month per capita,Bread,7,9965.662083
96,Iran,Consumption (Grams) per month per capita,Milk,7,3104.606684
96,Iran,Consumption (Grams) per month per capita,Meat,4,732.1205604
96,Iran,Consumption (Grams) per month per capita,Sugar,4,1376.194162
96,Iran,Consumption (Grams) per month per capita,Fish,4,580.105822
96,Iran,Consumption (Grams) per month per capita,Fruit,4,4990.240869
96,Iran,Consumption (Grams) per month per capita,Chicken,4,1758.812201
96,Iran,Consumption (Grams) per month per capita,Bread,4,10054.18551
96,Iran,Consumption (Grams) per month per capita,Meat,2,527.7643926
96,Iran,Consumption (Grams) per month per capita,Sugar,2,1180.679652
96,Iran,Consumption (Grams) per month per capita,Fish,2,565.9680232
96,Iran,Consumption (Grams) per month per capita,Fruit,2,3890.29333
96,Iran,Consumption (Grams) per month per capita,Chicken,2,1570.084485
96,Iran,Consumption (Grams) per month per capita,Bread,2,10025.95092
96,Iran,Consumption (Grams) per month per capita,Milk,2,2515.59328
96,Iran,Consumption (Grams) per month per capita,Meat,10,1939.036786
96,Iran,Consumption (Grams) per month per capita,Rice,10,8530.285213
96,Iran,Consumption (Grams) per month per capita,Sugar,10,2116.532203
96,Iran,Consumption (Grams) per month per capita,Fish,10,1091.570105
96,Iran,Consumption (Grams) per month per capita,Yogurt,10,2259.745357
96,Iran,Consumption (Grams) per month per capita,Fruit,10,10699.76657
96,Iran,Consumption (Grams) per month per capita,Chicken,10,3059.614336
96,Iran,Consumption (Grams) per month per capita,Bread,10,9552.69729
96,Iran,Consumption (Grams) per month per capita,Milk,10,5046.081987
96,Iran,Consumption (Grams) per month per capita,Fish,6,617.0994279
96,Iran,Consumption (Grams) per month per capita,Rice,9,6419.01978
96,Iran,Consumption (Grams) per month per capita,Yogurt,6,1465.405763
96,Iran,Consumption (Grams) per month per capita,Milk,5,3007.352685
96,Iran,Consumption (Grams) per month per capita,Rice,4,3363.479086
96,Iran,Consumption (Grams) per month per capita,Milk,4,2869.442939
96,Iran,Consumption (Grams) per month per capita,Yogurt,2,1064.446885
96,Iran,Consumption (Grams) per month per capita,Rice,5,3635.092358
96,Iran,Consumption (Grams) per month per capita,Fish,3,526.9945535
96,Iran,Consumption (Grams) per month per capita,Yogurt,4,1259.058553
96,Iran,Consumption (Grams) per month per capita,Meat,1,403.2116341
96,Iran,Consumption (Grams) per month per capita,Sugar,1,983.4333895
96,Iran,Consumption (Grams) per month per capita,Fruit,1,2725.212909
96,Iran,Consumption (Grams) per month per capita,Chicken,1,1330.270044
96,Iran,Consumption (Grams) per month per capita,Bread,1,9660.784472
96,Iran,Consumption (Grams) per month per capita,Rice,2,2769.934851
96,Iran,Consumption (Grams) per month per capita,Milk,1,2071.889295
96,Iran,Consumption (Grams) per month per capita,Rice,1,2119.63809
96,Iran,Consumption (Grams) per month per capita,Yogurt,1,902.7858262
96,Iran,Consumption (Grams) per month per capita,Fish,1,573.7783715
95,Iran,Consumption (Grams) per month per capita,Meat,2,564.5655934
95,Iran,Consumption (Grams) per month per capita,Rice,2,2801.699215
95,Iran,Consumption (Grams) per month per capita,Yogurt,2,1042.293201
95,Iran,Consumption (Grams) per month per capita,Fruit,2,3608.888446
95,Iran,Consumption (Grams) per month per capita,Chicken,2,1544.545379
95,Iran,Consumption (Grams) per month per capita,Bread,2,10427.67968
95,Iran,Consumption (Grams) per month per capita,Milk,2,2549.73343
95,Iran,Consumption (Grams) per month per capita,Meat,1,376.0889563
95,Iran,Consumption (Grams) per month per capita,Sugar,1,990.274807
95,Iran,Consumption (Grams) per month per capita,Yogurt,1,897.8534044
95,Iran,Consumption (Grams) per month per capita,Fruit,1,2595.694067
95,Iran,Consumption (Grams) per month per capita,Chicken,1,1283.656722
95,Iran,Consumption (Grams) per month per capita,Bread,1,10084.28971
95,Iran,Consumption (Grams) per month per capita,Milk,1,2003.024319
95,Iran,Consumption (Grams) per month per capita,Meat,5,808.1336317
95,Iran,Consumption (Grams) per month per capita,Sugar,5,1398.456286
95,Iran,Consumption (Grams) per month per capita,Fish,5,585.9941911
95,Iran,Consumption (Grams) per month per capita,Yogurt,5,1310.220985
95,Iran,Consumption (Grams) per month per capita,Fruit,5,5154.745565
95,Iran,Consumption (Grams) per month per capita,Bread,5,10016.27656
95,Iran,Consumption (Grams) per month per capita,Milk,5,3058.839334
95,Iran,Consumption (Grams) per month per capita,Meat,3,624.4617973
95,Iran,Consumption (Grams) per month per capita,Sugar,3,1279.014454
95,Iran,Consumption (Grams) per month per capita,Yogurt,3,1149.965126
95,Iran,Consumption (Grams) per month per capita,Fruit,3,4210.707525
95,Iran,Consumption (Grams) per month per capita,Chicken,3,1669.988015
95,Iran,Consumption (Grams) per month per capita,Bread,3,10387.01059
95,Iran,Consumption (Grams) per month per capita,Milk,3,2727.918517
95,Iran,Consumption (Grams) per month per capita,Fish,4,568.0982278
95,Iran,Consumption (Grams) per month per capita,Yogurt,4,1197.86308
95,Iran,Consumption (Grams) per month per capita,Fruit,4,4563.741417
95,Iran,Consumption (Grams) per month per capita,Chicken,4,1790.066634
95,Iran,Consumption (Grams) per month per capita,Bread,4,10285.07011
95,Iran,Consumption (Grams) per month per capita,Milk,4,2685.510137
95,Iran,Consumption (Grams) per month per capita,Sugar,10,2012.812861
95,Iran,Consumption (Grams) per month per capita,Fish,10,1163.391707
95,Iran,Consumption (Grams) per month per capita,Yogurt,10,2294.576798
95,Iran,Consumption (Grams) per month per capita,Fruit,10,9951.329504
95,Iran,Consumption (Grams) per month per capita,Bread,10,9217.401245
95,Iran,Consumption (Grams) per month per capita,Milk,10,5369.241513
95,Iran,Consumption (Grams) per month per capita,Chicken,5,1888.959188
95,Iran,Consumption (Grams) per month per capita,Meat,6,919.5044307
95,Iran,Consumption (Grams) per month per capita,Sugar,6,1472.962947
95,Iran,Consumption (Grams) per month per capita,Fish,6,585.20139
95,Iran,Consumption (Grams) per month per capita,Fruit,6,5711.130078
95,Iran,Consumption (Grams) per month per capita,Chicken,6,2026.481233
95,Iran,Consumption (Grams) per month per capita,Bread,6,10287.06364
95,Iran,Consumption (Grams) per month per capita,Milk,6,3099.28285
95,Iran,Consumption (Grams) per month per capita,Meat,9,1349.255639
95,Iran,Consumption (Grams) per month per capita,Rice,9,5796.548782
95,Iran,Consumption (Grams) per month per capita,Sugar,9,1703.476465
95,Iran,Consumption (Grams) per month per capita,Fish,9,826.6949523
95,Iran,Consumption (Grams) per month per capita,Fruit,9,8092.404381
95,Iran,Consumption (Grams) per month per capita,Chicken,9,2495.44515
95,Iran,Consumption (Grams) per month per capita,Bread,9,10321.01661
95,Iran,Consumption (Grams) per month per capita,Milk,9,3799.03965
95,Iran,Consumption (Grams) per month per capita,Rice,6,3913.692951
95,Iran,Consumption (Grams) per month per capita,Yogurt,6,1379.761397
95,Iran,Consumption (Grams) per month per capita,Yogurt,9,1720.141313
95,Iran,Consumption (Grams) per month per capita,Sugar,4,1339.930796
95,Iran,Consumption (Grams) per month per capita,Meat,8,1047.070865
95,Iran,Consumption (Grams) per month per capita,Rice,8,4847.989994
95,Iran,Consumption (Grams) per month per capita,Sugar,8,1568.592939
95,Iran,Consumption (Grams) per month per capita,Fish,8,714.7505732
95,Iran,Consumption (Grams) per month per capita,Yogurt,8,1593.765678
95,Iran,Consumption (Grams) per month per capita,Fruit,8,6821.709512
95,Iran,Consumption (Grams) per month per capita,Chicken,8,2238.226665
95,Iran,Consumption (Grams) per month per capita,Bread,8,9701.441188
95,Iran,Consumption (Grams) per month per capita,Meat,7,1048.997989
95,Iran,Consumption (Grams) per month per capita,Sugar,7,1541.698979
95,Iran,Consumption (Grams) per month per capita,Fruit,7,6332.887533
95,Iran,Consumption (Grams) per month per capita,Chicken,7,2102.175634
95,Iran,Consumption (Grams) per month per capita,Bread,7,9932.024416
95,Iran,Consumption (Grams) per month per capita,Milk,7,3098.243967
95,Iran,Consumption (Grams) per month per capita,Rice,7,4270.822157
95,Iran,Consumption (Grams) per month per capita,Yogurt,7,1424.393213
95,Iran,Consumption (Grams) per month per capita,Meat,4,729.1155387
95,Iran,Consumption (Grams) per month per capita,Rice,4,3450.227808
95,Iran,Consumption (Grams) per month per capita,Milk,8,3526.947803
95,Iran,Consumption (Grams) per month per capita,Rice,5,3543.886882
95,Iran,Consumption (Grams) per month per capita,Fish,7,665.9251695
95,Iran,Consumption (Grams) per month per capita,Fish,3,538.4588596
95,Iran,Consumption (Grams) per month per capita,Meat,10,1791.51149
95,Iran,Consumption (Grams) per month per capita,Rice,10,8327.315389
95,Iran,Consumption (Grams) per month per capita,Chicken,10,2944.211678
95,Iran,Consumption (Grams) per month per capita,Rice,3,3107.677401
95,Iran,Consumption (Grams) per month per capita,Sugar,2,1163.667593
95,Iran,Consumption (Grams) per month per capita,Rice,1,2160.715467
95,Iran,Consumption (Grams) per month per capita,Fish,2,607.4324186
95,Iran,Consumption (Grams) per month per capita,Fish,1,558.5411284
94,Iran,Consumption (Grams) per month per capita,Meat,5,817.7609109
94,Iran,Consumption (Grams) per month per capita,Sugar,5,1455.573324
94,Iran,Consumption (Grams) per month per capita,Yogurt,5,1259.218594
94,Iran,Consumption (Grams) per month per capita,Fruit,5,4969.693435
94,Iran,Consumption (Grams) per month per capita,Chicken,5,1843.429006
94,Iran,Consumption (Grams) per month per capita,Bread,5,10131.96273
94,Iran,Consumption (Grams) per month per capita,Milk,5,2910.730816
94,Iran,Consumption (Grams) per month per capita,Meat,9,1343.232622
94,Iran,Consumption (Grams) per month per capita,Sugar,9,1871.879195
94,Iran,Consumption (Grams) per month per capita,Fish,9,847.7009375
94,Iran,Consumption (Grams) per month per capita,Yogurt,9,1930.481452
94,Iran,Consumption (Grams) per month per capita,Fruit,9,8256.876694
94,Iran,Consumption (Grams) per month per capita,Bread,9,9685.880597
94,Iran,Consumption (Grams) per month per capita,Milk,9,3910.670861
94,Iran,Consumption (Grams) per month per capita,Meat,1,420.3918945
94,Iran,Consumption (Grams) per month per capita,Sugar,1,1026.892126
94,Iran,Consumption (Grams) per month per capita,Fruit,1,2596.252059
94,Iran,Consumption (Grams) per month per capita,Bread,1,10445.75442
94,Iran,Consumption (Grams) per month per capita,Milk,1,1988.691828
94,Iran,Consumption (Grams) per month per capita,Meat,2,564.7731601
94,Iran,Consumption (Grams) per month per capita,Rice,2,2936.623972
94,Iran,Consumption (Grams) per month per capita,Sugar,2,1234.693539
94,Iran,Consumption (Grams) per month per capita,Yogurt,2,1029.641842
94,Iran,Consumption (Grams) per month per capita,Fruit,2,3467.454146
94,Iran,Consumption (Grams) per month per capita,Bread,2,10155.46299
94,Iran,Consumption (Grams) per month per capita,Milk,2,2691.446777
94,Iran,Consumption (Grams) per month per capita,Meat,6,983.9714565
94,Iran,Consumption (Grams) per month per capita,Sugar,6,1552.737019
94,Iran,Consumption (Grams) per month per capita,Fish,6,609.8491486
94,Iran,Consumption (Grams) per month per capita,Yogurt,6,1426.015412
94,Iran,Consumption (Grams) per month per capita,Fruit,6,5479.963043
94,Iran,Consumption (Grams) per month per capita,Chicken,6,1984.63654
94,Iran,Consumption (Grams) per month per capita,Bread,6,10249.28382
94,Iran,Consumption (Grams) per month per capita,Milk,6,3042.401479
94,Iran,Consumption (Grams) per month per capita,Rice,9,6349.841387
94,Iran,Consumption (Grams) per month per capita,Chicken,9,2595.214373
94,Iran,Consumption (Grams) per month per capita,Meat,7,1050.688996
94,Iran,Consumption (Grams) per month per capita,Sugar,7,1578.274771
94,Iran,Consumption (Grams) per month per capita,Yogurt,7,1517.632581
94,Iran,Consumption (Grams) per month per capita,Fruit,7,6078.154342
94,Iran,Consumption (Grams) per month per capita,Chicken,7,2105.401348
94,Iran,Consumption (Grams) per month per capita,Bread,7,10158.41579
94,Iran,Consumption (Grams) per month per capita,Milk,7,3149.96145
94,Iran,Consumption (Grams) per month per capita,Rice,6,4087.212386
94,Iran,Consumption (Grams) per month per capita,Meat,4,721.0139847
94,Iran,Consumption (Grams) per month per capita,Sugar,4,1446.053936
94,Iran,Consumption (Grams) per month per capita,Yogurt,4,1245.371987
94,Iran,Consumption (Grams) per month per capita,Fruit,4,4622.179491
94,Iran,Consumption (Grams) per month per capita,Chicken,4,1775.332326
94,Iran,Consumption (Grams) per month per capita,Bread,4,10375.28404
94,Iran,Consumption (Grams) per month per capita,Milk,4,3043.720614
94,Iran,Consumption (Grams) per month per capita,Rice,7,4526.025785
94,Iran,Consumption (Grams) per month per capita,Fish,7,659.6216593
94,Iran,Consumption (Grams) per month per capita,Fish,4,574.6821039
94,Iran,Consumption (Grams) per month per capita,Meat,3,658.7537286
94,Iran,Consumption (Grams) per month per capita,Sugar,3,1323.332067
94,Iran,Consumption (Grams) per month per capita,Yogurt,3,1149.14016
94,Iran,Consumption (Grams) per month per capita,Fruit,3,4032.447497
94,Iran,Consumption (Grams) per month per capita,Chicken,3,1641.867203
94,Iran,Consumption (Grams) per month per capita,Bread,3,10275.10132
94,Iran,Consumption (Grams) per month per capita,Milk,3,2811.041655
94,Iran,Consumption (Grams) per month per capita,Meat,10,1735.371204
94,Iran,Consumption (Grams) per month per capita,Rice,10,9635.098404
94,Iran,Consumption (Grams) per month per capita,Sugar,10,1981.061765
94,Iran,Consumption (Grams) per month per capita,Fish,10,1154.279179
94,Iran,Consumption (Grams) per month per capita,Yogurt,10,2372.180334
94,Iran,Consumption (Grams) per month per capita,Fruit,10,10334.23835
94,Iran,Consumption (Grams) per month per capita,Chicken,10,3091.344843
94,Iran,Consumption (Grams) per month per capita,Bread,10,8985.626561
94,Iran,Consumption (Grams) per month per capita,Milk,10,5162.740134
94,Iran,Consumption (Grams) per month per capita,Meat,8,1153.600073
94,Iran,Consumption (Grams) per month per capita,Rice,8,5205.257373
94,Iran,Consumption (Grams) per month per capita,Sugar,8,1676.913151
94,Iran,Consumption (Grams) per month per capita,Yogurt,8,1657.562661
94,Iran,Consumption (Grams) per month per capita,Fruit,8,6966.693482
94,Iran,Consumption (Grams) per month per capita,Chicken,8,2209.703416
94,Iran,Consumption (Grams) per month per capita,Bread,8,9925.062313
94,Iran,Consumption (Grams) per month per capita,Milk,8,3449.013621
94,Iran,Consumption (Grams) per month per capita,Fish,8,714.996989
94,Iran,Consumption (Grams) per month per capita,Rice,5,3767.457381
94,Iran,Consumption (Grams) per month per capita,Fish,5,559.3602522
94,Iran,Consumption (Grams) per month per capita,Rice,4,3527.903515
94,Iran,Consumption (Grams) per month per capita,Chicken,2,1473.53407
94,Iran,Consumption (Grams) per month per capita,Rice,3,3247.952277
94,Iran,Consumption (Grams) per month per capita,Yogurt,1,872.8540138
94,Iran,Consumption (Grams) per month per capita,Fish,3,565.9038985
94,Iran,Consumption (Grams) per month per capita,Rice,1,2177.432939
94,Iran,Consumption (Grams) per month per capita,Chicken,1,1229.217508
94,Iran,Consumption (Grams) per month per capita,Fish,2,505.5503329
94,Iran,Consumption (Grams) per month per capita,Fish,1,514.2164474
93,Iran,Consumption (Grams) per month per capita,Meat,3,633.1734716
93,Iran,Consumption (Grams) per month per capita,Rice,3,3357.021568
93,Iran,Consumption (Grams) per month per capita,Yogurt,3,1174.218078
93,Iran,Consumption (Grams) per month per capita,Fruit,3,4403.017924
93,Iran,Consumption (Grams) per month per capita,Bread,3,10662.77324
93,Iran,Consumption (Grams) per month per capita,Milk,3,2817.163552
93,Iran,Consumption (Grams) per month per capita,Meat,2,492.6779213
93,Iran,Consumption (Grams) per month per capita,Rice,2,2976.599568
93,Iran,Consumption (Grams) per month per capita,Yogurt,2,1115.781113
93,Iran,Consumption (Grams) per month per capita,Fruit,2,3763.31958
93,Iran,Consumption (Grams) per month per capita,Chicken,2,1488.316778
93,Iran,Consumption (Grams) per month per capita,Bread,2,10861.82357
93,Iran,Consumption (Grams) per month per capita,Milk,2,2853.730318
93,Iran,Consumption (Grams) per month per capita,Chicken,3,1640.939639
93,Iran,Consumption (Grams) per month per capita,Meat,7,964.2795069
93,Iran,Consumption (Grams) per month per capita,Rice,7,4578.178357
93,Iran,Consumption (Grams) per month per capita,Fish,7,656.723997
93,Iran,Consumption (Grams) per month per capita,Yogurt,7,1516.098509
93,Iran,Consumption (Grams) per month per capita,Fruit,7,6108.193142
93,Iran,Consumption (Grams) per month per capita,Chicken,7,2060.040039
93,Iran,Consumption (Grams) per month per capita,Bread,7,10349.50786
93,Iran,Consumption (Grams) per month per capita,Milk,7,3309.295381
93,Iran,Consumption (Grams) per month per capita,Sugar,1,1065.079252
93,Iran,Consumption (Grams) per month per capita,Fruit,1,2927.238254
93,Iran,Consumption (Grams) per month per capita,Chicken,1,1246.895512
93,Iran,Consumption (Grams) per month per capita,Bread,1,10568.23438
93,Iran,Consumption (Grams) per month per capita,Milk,1,2487.22691
93,Iran,Consumption (Grams) per month per capita,Meat,6,875.2993359
93,Iran,Consumption (Grams) per month per capita,Fish,6,606.392152
