year,GEO,UOM,variable,decile,value
96,Iran,Price of food items 1000Rials per kg ,Meat,9,364.6168092
96,Iran,Price of food items 1000Rials per kg ,Sugar,9,102.0279119
96,Iran,Price of food items 1000Rials per kg ,Fish,9,187.0900089
96,Iran,Price of food items 1000Rials per kg ,Yogurt,9,33.37173349
96,Iran,Price of food items 1000Rials per kg ,Fruit,9,37.57785312
96,Iran,Price of food items 1000Rials per kg ,Chicken,9,73.69988729
96,Iran,Price of food items 1000Rials per kg ,Bread,9,19.1404157
96,Iran,Price of food items 1000Rials per kg ,Milk,9,29.0935643
96,Iran,Price of food items 1000Rials per kg ,Meat,4,367.6834912
96,Iran,Price of food items 1000Rials per kg ,Rice,4,67.56128194
96,Iran,Price of food items 1000Rials per kg ,Sugar,4,81.76669594
96,Iran,Price of food items 1000Rials per kg ,Yogurt,4,32.75128886
96,Iran,Price of food items 1000Rials per kg ,Fruit,4,32.83979877
96,Iran,Price of food items 1000Rials per kg ,Chicken,4,70.92349047
96,Iran,Price of food items 1000Rials per kg ,Bread,4,17.93630694
96,Iran,Price of food items 1000Rials per kg ,Milk,4,27.95121177
96,Iran,Price of food items 1000Rials per kg ,Meat,6,367.3126818
96,Iran,Price of food items 1000Rials per kg ,Rice,6,71.10216796
96,Iran,Price of food items 1000Rials per kg ,Sugar,6,90.22503842
96,Iran,Price of food items 1000Rials per kg ,Fruit,6,35.69977967
96,Iran,Price of food items 1000Rials per kg ,Chicken,6,72.14536881
96,Iran,Price of food items 1000Rials per kg ,Bread,6,18.34012482
96,Iran,Price of food items 1000Rials per kg ,Milk,6,27.25059301
96,Iran,Price of food items 1000Rials per kg ,Meat,7,366.7132428
96,Iran,Price of food items 1000Rials per kg ,Rice,7,72.95597445
96,Iran,Price of food items 1000Rials per kg ,Sugar,7,90.14602185
96,Iran,Price of food items 1000Rials per kg ,Fruit,7,35.22872134
96,Iran,Price of food items 1000Rials per kg ,Chicken,7,72.50700133
96,Iran,Price of food items 1000Rials per kg ,Bread,7,18.75089979
96,Iran,Price of food items 1000Rials per kg ,Milk,7,28.29034427
96,Iran,Price of food items 1000Rials per kg ,Rice,9,78.5893292
96,Iran,Price of food items 1000Rials per kg ,Meat,5,369.6299982
96,Iran,Price of food items 1000Rials per kg ,Sugar,5,83.58324806
96,Iran,Price of food items 1000Rials per kg ,Fish,5,185.7434769
96,Iran,Price of food items 1000Rials per kg ,Yogurt,5,32.63858718
96,Iran,Price of food items 1000Rials per kg ,Fruit,5,34.04704067
96,Iran,Price of food items 1000Rials per kg ,Chicken,5,71.25705567
96,Iran,Price of food items 1000Rials per kg ,Bread,5,18.17833221
96,Iran,Price of food items 1000Rials per kg ,Meat,8,368.1314117
96,Iran,Price of food items 1000Rials per kg ,Rice,8,75.86277067
96,Iran,Price of food items 1000Rials per kg ,Sugar,8,95.13727028
96,Iran,Price of food items 1000Rials per kg ,Fish,8,186.3007631
96,Iran,Price of food items 1000Rials per kg ,Yogurt,8,32.75010137
96,Iran,Price of food items 1000Rials per kg ,Fruit,8,36.58014422
96,Iran,Price of food items 1000Rials per kg ,Chicken,8,72.53026173
96,Iran,Price of food items 1000Rials per kg ,Bread,8,18.98825967
96,Iran,Price of food items 1000Rials per kg ,Fish,7,189.8536946
96,Iran,Price of food items 1000Rials per kg ,Yogurt,7,32.74569445
96,Iran,Price of food items 1000Rials per kg ,Meat,3,370.5472563
96,Iran,Price of food items 1000Rials per kg ,Sugar,3,78.70251329
96,Iran,Price of food items 1000Rials per kg ,Fish,3,194.7523886
96,Iran,Price of food items 1000Rials per kg ,Fruit,3,32.53495081
96,Iran,Price of food items 1000Rials per kg ,Chicken,3,70.51050862
96,Iran,Price of food items 1000Rials per kg ,Bread,3,17.93574292
96,Iran,Price of food items 1000Rials per kg ,Milk,3,27.59469926
96,Iran,Price of food items 1000Rials per kg ,Meat,10,372.5813881
96,Iran,Price of food items 1000Rials per kg ,Rice,10,87.86902805
96,Iran,Price of food items 1000Rials per kg ,Sugar,10,124.6662475
96,Iran,Price of food items 1000Rials per kg ,Fish,10,199.0352719
96,Iran,Price of food items 1000Rials per kg ,Yogurt,10,34.19089072
96,Iran,Price of food items 1000Rials per kg ,Fruit,10,42.10811485
