GEO,UOM,Time,Type,Category,Cross,value
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Meat,-0.767978808
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Fish,-0.098798142
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Yogurt,-0.039348061
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Fruit,-0.016991236
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Chicken,0.191446957
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Bread,-0.303153042
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Milk,-0.177418504
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Rice,-0.222745796
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Meat,-0.405413171
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Fish,-0.971031186
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Yogurt,-0.035350001
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Fruit,0.272131668
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Chicken,0.111696073
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Bread,-0.140347869
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Milk,-0.14076771
Iran,Price Elasticity,1387-1396,Uncompensated,Fish,Rice,-0.046478342
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Meat,-0.060070469
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Fish,-0.013342496
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Yogurt,0.215566611
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Fruit,-0.897798938
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Chicken,-0.172330686
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Bread,-0.051737192
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Milk,0.280959952
Iran,Price Elasticity,1387-1396,Uncompensated,Yogurt,Rice,-0.10088173
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Meat,0.055506869
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Fish,0.092523136
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Yogurt,-0.249089937
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Fruit,-0.401138669
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Chicken,-0.07152776
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Bread,-0.254098375
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Milk,0.007223991
Iran,Price Elasticity,1387-1396,Uncompensated,Fruit,Rice,-0.211033609
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Meat,0.334135697
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Fish,0.052511826
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Yogurt,-0.048545464
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Fruit,-0.047105388
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Chicken,-0.682501313
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Bread,-0.28348231
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Milk,0.195269629
Iran,Price Elasticity,1387-1396,Uncompensated,Chicken,Rice,-0.402555486
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Meat,-0.175494739
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Fish,0.001526414
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Yogurt,0.001879453
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Fruit,-0.157477962
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Chicken,-0.213599651
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Bread,0.112263062
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Milk,-0.046874187
Iran,Price Elasticity,1387-1396,Uncompensated,Bread,Rice,0.054774693
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Meat,-0.453116442
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Fish,-0.08305247
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Yogurt,0.188082725
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Fruit,0.039700549
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Chicken,0.507573389
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Bread,-0.194936773
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Milk,-0.555464089
Iran,Price Elasticity,1387-1396,Uncompensated,Milk,Rice,-0.34346793
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Meat,-0.152167913
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Fish,0.000645189
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Yogurt,-0.033804897
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Fruit,-0.177729344
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Chicken,-0.358520178
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Bread,-0.062780307
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Milk,-0.118447312
Iran,Price Elasticity,1387-1396,Uncompensated,Rice,Rice,-0.201258705
Iran,Price Elasticity,1387-1396,Compensated,Meat,Meat,-0.50927808
Iran,Price Elasticity,1387-1396,Compensated,Meat,Fish,-0.03800542
Iran,Price Elasticity,1387-1396,Compensated,Meat,Yogurt,0.017140248
Iran,Price Elasticity,1387-1396,Compensated,Meat,Fruit,0.194752854
Iran,Price Elasticity,1387-1396,Compensated,Meat,Chicken,0.407132414
Iran,Price Elasticity,1387-1396,Compensated,Meat,Bread,-0.089365986
Iran,Price Elasticity,1387-1396,Compensated,Meat,Milk,-0.09476024
Iran,Price Elasticity,1387-1396,Compensated,Meat,Rice,0.045600801
Iran,Price Elasticity,1387-1396,Compensated,Fish,Meat,-0.161730379
Iran,Price Elasticity,1387-1396,Compensated,Fish,Fish,-0.913767566
Iran,Price Elasticity,1387-1396,Compensated,Fish,Yogurt,0.017859083
Iran,Price Elasticity,1387-1396,Compensated,Fish,Fruit,0.471583719
Iran,Price Elasticity,1387-1396,Compensated,Fish,Chicken,0.31486069
Iran,Price Elasticity,1387-1396,Compensated,Fish,Bread,0.061028552
Iran,Price Elasticity,1387-1396,Compensated,Fish,Milk,-0.062907872
Iran,Price Elasticity,1387-1396,Compensated,Fish,Rice,0.206290364
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Meat,0.078497562
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Fish,0.019219947
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Yogurt,0.245823479
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Fruit,-0.78438232
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Chicken,-0.056802952
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Bread,0.062773702
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Milk,0.325234249
Iran,Price Elasticity,1387-1396,Compensated,Yogurt,Rice,0.042852924
Iran,Price Elasticity,1387-1396,Compensated,Fruit,Meat,0.237941494
Iran,Price Elasticity,1387-1396,Compensated,Fruit,Fish,0.135393898
