GEO,UOM,Time,Type,Category,Cross,value
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,CerealsBreadFlour,-0.774510094
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,Meatdomesticanimals,-0.069333205
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,PoultryMeat,-0.327999422
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,DairyProducts,-0.199344476
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,BirdEggs,0.094215142
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,Fruit,0.214604004
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,Vegetables,-0.260262055
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,NutsLegumes,0.155586199
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,Sugar,0.041217257
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,OtherCombinations,-0.134820556
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,VegetableOils,0.224546368
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,TeaCoffee,-0.185628066
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,Spices,-0.028545811
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,Milk,0.268636968
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,AnimalOilsFats,0.045413047
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,SweetsJams,-0.078129805
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,SeafoodMeat,0.18301222
Iran,Price Elasticity,1387-1396,Uncompensated,Cereals,PreparedVegetables,-0.057027066
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,CerealsBreadFlour,-0.318966527
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Meatdomesticanimals,-0.730442007
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,PoultryMeat,0.130971746
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,DairyProducts,0.04669234
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,BirdEggs,-0.052608181
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Fruit,-0.052421075
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Vegetables,0.029074219
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,NutsLegumes,-0.059189323
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Sugar,-0.122094621
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,OtherCombinations,0.113857699
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,VegetableOils,-0.023727543
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,TeaCoffee,-0.14433298
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Spices,-0.135911921
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,Milk,-0.269542061
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,AnimalOilsFats,-0.048474537
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,SweetsJams,-0.021983072
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,SeafoodMeat,0.044058534
Iran,Price Elasticity,1387-1396,Uncompensated,Meat,PreparedVegetables,0.049138108
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,CerealsBreadFlour,-0.905681312
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,Meatdomesticanimals,0.239909192
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,PoultryMeat,-0.434425901
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,DairyProducts,-0.132983378
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,BirdEggs,-0.029092981
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,Fruit,0.251463263
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,Vegetables,-0.01940738
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,NutsLegumes,0.011147498
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,Sugar,0.056340315
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,OtherCombinations,0.012124182
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,VegetableOils,-0.137832984
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,TeaCoffee,-0.031273408
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,Spices,-0.007913616
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,Milk,0.057716522
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,AnimalOilsFats,0.057320496
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,SweetsJams,0.001747517
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,SeafoodMeat,-0.004425744
Iran,Price Elasticity,1387-1396,Uncompensated,PoultryMeat,PreparedVegetables,0.038573074
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,CerealsBreadFlour,-0.85585782
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,Meatdomesticanimals,0.189194963
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,PoultryMeat,-0.201353214
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,DairyProducts,-0.309509228
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,BirdEggs,0.120916728
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,Fruit,-0.219892343
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,Vegetables,-0.243686227
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,NutsLegumes,-0.06756137
Iran,Price Elasticity,1387-1396,Uncompensated,Dairy products,Sugar,-0.018968741
