Year,GEO,Province,UOM,value
96,Iran,Markazi,Food Expenditure (Rials) per month per capita,1854638.235
96,Iran,Gilan,Food Expenditure (Rials) per month per capita,1786927.11
96,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,2349903.85
96,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,1831086.122
96,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,1521412.175
96,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,1925278.158
96,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,1710551.284
96,Iran,Fars,Food Expenditure (Rials) per month per capita,1678850.212
96,Iran,Kerman,Food Expenditure (Rials) per month per capita,1186697.535
96,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,1888258.914
96,Iran,Esfahan,Food Expenditure (Rials) per month per capita,1942883.795
96,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,1327326.685
96,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,1783214.207
96,Iran,Hamadan,Food Expenditure (Rials) per month per capita,1487474.667
96,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,2032471.276
96,Iran,Lorestan,Food Expenditure (Rials) per month per capita,1539984.46
96,Iran,Ilam,Food Expenditure (Rials) per month per capita,1768033.134
96,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,1624296.89
96,Iran,Bushehr,Food Expenditure (Rials) per month per capita,1992128.434
96,Iran,Zanjan,Food Expenditure (Rials) per month per capita,1583199.055
96,Iran,Semnan,Food Expenditure (Rials) per month per capita,1601957.075
96,Iran,Yazd,Food Expenditure (Rials) per month per capita,1905299.581
96,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,1483251.398
96,Iran,Tehran,Food Expenditure (Rials) per month per capita,2277846.107
96,Iran,Ardabil,Food Expenditure (Rials) per month per capita,1885276.16
96,Iran,Qom,Food Expenditure (Rials) per month per capita,1558708.911
96,Iran,Qazvin,Food Expenditure (Rials) per month per capita,2158917.133
96,Iran,Golestan,Food Expenditure (Rials) per month per capita,1505353.274
96,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,1569940.259
96,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,1682532.979
96,Iran,Alborz,Food Expenditure (Rials) per month per capita,2075852.721
95,Iran,Markazi,Food Expenditure (Rials) per month per capita,1590815.127
95,Iran,Gilan,Food Expenditure (Rials) per month per capita,1560180.785
95,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,1951613.568
95,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,1661842.823
