,Year,Region,Type,Value
1,83,Total,Total Expenditure per capita,1331675.87
2,83,Rural,Total Expenditure per capita,916986.1901
3,83,Urban,Total Expenditure per capita,1599512.466
4,84,Total,Total Expenditure per capita,1571248.645
5,84,Rural,Total Expenditure per capita,1011416.834
6,84,Urban,Total Expenditure per capita,1870928.074
7,85,Total,Total Expenditure per capita,1802386.07
8,85,Rural,Total Expenditure per capita,1151762.667
9,85,Urban,Total Expenditure per capita,2148368.491
10,86,Total,Total Expenditure per capita,2320544.838
11,86,Rural,Total Expenditure per capita,1414666.868
12,86,Urban,Total Expenditure per capita,2803211.443
13,87,Total,Total Expenditure per capita,2634477.584
14,87,Urban,Total Expenditure per capita,3080317.494
15,87,Rural,Total Expenditure per capita,1658378.674
16,88,Total,Total Expenditure per capita,2891479.888
17,88,Urban,Total Expenditure per capita,3253960.79
18,88,Rural,Total Expenditure per capita,2030657.337
19,89,Total,Total Expenditure per capita,3363748.544
20,89,Urban,Total Expenditure per capita,3785092.149
21,89,Rural,Total Expenditure per capita,2310241.67
22,90,Total,Total Expenditure per capita,3824420.263
23,90,Urban,Total Expenditure per capita,4315533.612
24,90,Rural,Total Expenditure per capita,2625784.831
25,91,Total,Total Expenditure per capita,4818230.325
26,91,Urban,Total Expenditure per capita,5339980.96
27,91,Rural,Total Expenditure per capita,3434805.693
28,92,Total,Total Expenditure per capita,6228593.374
29,92,Urban,Total Expenditure per capita,7053106.846
30,92,Rural,Total Expenditure per capita,4122365.033
31,93,Total,Total Expenditure per capita,6971562.127
32,93,Urban,Total Expenditure per capita,7966624.47
33,93,Rural,Total Expenditure per capita,4386869.822
34,94,Total,Total Expenditure per capita,7512040.643
35,94,Urban,Total Expenditure per capita,8587820.257
36,94,Rural,Total Expenditure per capita,4632760.914
37,95,Total,Total Expenditure per capita,8346294.686
38,95,Urban,Total Expenditure per capita,9535658.431
39,95,Rural,Total Expenditure per capita,5135123.159
40,96,Total,Total Expenditure per capita,9894113.7
41,96,Urban,Total Expenditure per capita,11248328.25
42,96,Rural,Total Expenditure per capita,5919157.71
43,97,Total,Total Expenditure per capita,12350516.59
44,97,Urban,Total Expenditure per capita,14037039.92
45,97,Rural,Total Expenditure per capita,7344592.369
46,98,Total,Total Expenditure per capita,14992815.17
47,98,Urban,Total Expenditure per capita,16966386.51
48,98,Rural,Total Expenditure per capita,9005213.689
49,99,Total,Total Expenditure per capita,19967008.52
50,99,Urban,Total Expenditure per capita,22662919.19
51,99,Rural,Total Expenditure per capita,11640367.25
52,100,Total,Total Expenditure per capita,29255364.92
53,100,Urban,Total Expenditure per capita,32859277.91
54,100,Rural,Total Expenditure per capita,17937878.2
55,101,Total,Total Expenditure per capita,43511105.05
56,101,Urban,Total Expenditure per capita,48555120.11
57,101,Rural,Total Expenditure per capita,27109037.9
58,102,Total,Total Expenditure per capita,64880991.92
59,102,Urban,Total Expenditure per capita,72571727.01
60,102,Rural,Total Expenditure per capita,38907313.75
61,83,Total,Total Income per capita,792368.8098
62,83,Rural,Total Income per capita,595049.0979
63,83,Urban,Total Income per capita,919870.6844
64,84,Total,Total Income per capita,937138.8098
65,84,Rural,Total Income per capita,688671.6341
66,84,Urban,Total Income per capita,1070182.988
67,85,Total,Total Income per capita,1124661.033
68,85,Rural,Total Income per capita,788415.0669
69,85,Urban,Total Income per capita,1303667.657
70,86,Total,Total Income per capita,1347012.261
71,86,Rural,Total Income per capita,961345.808
72,86,Urban,Total Income per capita,1552605.676
73,87,Total,Total Income per capita,1498410.281
74,87,Urban,Total Income per capita,1721375.248
75,87,Rural,Total Income per capita,1010244.431
76,88,Total,Total Income per capita,1661970.461
77,88,Urban,Total Income per capita,1892970.044
78,88,Rural,Total Income per capita,1113705.739
79,89,Total,Total Income per capita,1902192.627
80,89,Urban,Total Income per capita,2142457.078
81,89,Rural,Total Income per capita,1301847.84
82,90,Total,Total Income per capita,2506841.466
83,90,Urban,Total Income per capita,2779052.12
84,90,Rural,Total Income per capita,1842292.751
85,91,Total,Total Income per capita,3254754.709
86,91,Urban,Total Income per capita,3577175.333
87,91,Rural,Total Income per capita,2399847.915
88,92,Total,Total Income per capita,4074595.335
89,92,Urban,Total Income per capita,4497807.85
90,92,Rural,Total Income per capita,2993495.88
91,93,Total,Total Income per capita,4865544.175
92,93,Urban,Total Income per capita,5404717.985
93,93,Rural,Total Income per capita,3464685.208
94,94,Total,Total Income per capita,5673894.839
95,94,Urban,Total Income per capita,6274601.862
96,94,Rural,Total Income per capita,4065856.073
97,95,Total,Total Income per capita,6492608.951
98,95,Urban,Total Income per capita,7230719.333
99,95,Rural,Total Income per capita,4499366.944
100,96,Total,Total Income per capita,7563715.979
101,96,Urban,Total Income per capita,8389520.95
102,96,Rural,Total Income per capita,5139987.57
103,97,Total,Total Income per capita,8961604.917
104,97,Urban,Total Income per capita,9968351.225
105,97,Rural,Total Income per capita,5973376.309
106,98,Total,Total Income per capita,11050612.28
107,98,Urban,Total Income per capita,12169873.27
108,98,Rural,Total Income per capita,7655894.184
109,99,Total,Total Income per capita,15632931.45
110,99,Urban,Total Income per capita,17143114.12
111,99,Rural,Total Income per capita,10969961.08
112,100,Total,Total Income per capita,24077453.78
113,100,Urban,Total Income per capita,26395913.62
114,100,Rural,Total Income per capita,16795074.31
115,101,Total,Total Income per capita,35824680.29
116,101,Urban,Total Income per capita,38774281.22
117,101,Rural,Total Income per capita,26235521.58
118,102,Total,Total Income per capita,54296040.39
119,102,Urban,Total Income per capita,58491011.2
120,102,Rural,Total Income per capita,40127875.59
