Year,region,CPI,food_foodbevtobacco,food_foodbev,food_food,food_breadcereal,food_meatredwhite,food_meatpoultry,food_fishshellfish,food_dairyeggs,food_oilsfats,food_fruitnuts,food_veglegumes,food_sugarsweets,food_others,food_teacoffeedrinks,tobacco,nonfoodandservices,cloth,shelter_total,shelter_housing,shelter_rent,shelter_maintenance,shelter_energy,furniture,healthmedical,transportation,transportation_vehiclepurchase,transportation_privatetransport,transportation_publictransport,communication,recreation,education,hotelsrestaurant,othergoodsservices,CPI_ex_rent,goods,services,durables,nondurables,semidurables,freshfood,otherfood,publicgoodsservices
1381,Urban,3.2,1.6,-,1.6,2.1,1.9,2,1.2,1.6,1.8,1.7,0.5,2.7,2.4,2.2,-,4.2,3.7,4.4,4.9,4.9,3.4,2.5,3.3,4.3,3.8,3.9,4,2.4,31.4,4.3,10.5,3,2.1,2.7,2.1,5.2,-,-,-,-,-,-
1382,Urban,3.6,1.9,-,1.8,2.4,2.2,2.3,1.5,1.9,2,2,0.6,3,2.6,2.5,-,4.8,4,5.1,5.8,5.8,4,2.9,3.6,4.9,4.2,4,4.8,3.1,34.8,4.5,11.2,3.4,2.4,3,2.4,6,-,-,-,-,-,-
1383,Urban,4.2,2.2,-,2.1,2.6,2.4,2.6,1.7,2.3,2.3,2.5,0.8,3.5,3,2.7,-,5.5,4.5,6,6.8,6.9,4.7,3.2,4.1,5.7,4.6,4.1,5.8,3.6,37.5,5,12.8,3.9,2.8,3.5,2.7,7.1,-,-,-,-,-,-
1384,Urban,4.7,2.4,-,2.3,2.9,2.6,2.7,1.9,2.5,2.4,2.7,0.9,3.8,3.5,3,-,6.2,5,6.9,7.9,7.9,5.3,3.3,4.6,6.7,4.9,4.3,6.2,4,39.1,5.5,14.1,4.4,3.2,3.8,3,8.1,-,-,-,-,-,-
1385,Urban,5.3,2.7,-,2.6,3.2,2.9,3.1,2.2,2.9,2.6,3,1.2,4.2,3.7,3.1,-,7,5.5,8.2,9.6,9.6,5.9,3.4,5,7.8,5.2,4.4,6.6,4.5,39.2,5.8,14.8,4.8,3.9,4.3,3.2,9.5,-,-,-,-,-,-
1386,Urban,6.2,3.2,-,3.2,3.8,3.5,3.6,2.6,3.6,3.5,3.7,1.4,4.6,4.6,3.6,-,8.2,6,10.1,11.9,12,7.1,3.4,5.5,8.7,5.8,4.7,7.7,5.2,39.2,6.2,15.3,5.5,4.5,4.9,3.7,11.4,-,-,-,-,-,-
1387,Urban,7.8,4.3,-,4.2,5.7,4.4,4.6,3.3,4.7,4.9,4.7,1.8,5.5,6.1,4.4,-,10.1,7,13.2,15.7,15.9,9,3.5,6.7,10,6.6,5.2,8.7,6.1,39.4,6.7,16,6.8,5.4,6.1,4.6,14.5,-,-,-,-,-,-
1388,Urban,8.6,4.8,-,4.8,5.7,5.4,5.7,3.9,5.2,5.1,5.4,2.1,6.1,7.4,4.8,-,10.9,7.6,14.2,17.1,17.2,9.7,3.6,7.2,11,6.9,5.2,9.2,6.7,39.9,7.2,17.3,7.6,6.2,6.7,5.1,15.7,-,-,-,-,-,-
1389,Urban,9.8,5.9,-,5.9,6.8,7.1,7.6,4.6,5.5,6.2,5.8,3.1,7.3,7.9,5.3,-,12,8.3,15.5,18.1,18.3,10.7,6,7.6,12.4,7.7,5.5,11.1,7.9,40,7.9,19.5,8.7,7.6,7.8,6.1,16.9,-,-,-,-,-,-
1390,Urban,12.3,7.8,7.9,8,10.5,8.3,8.9,5.7,7.9,9,7,4.6,9.4,8.7,6,5.6,14.8,9.6,19.8,20.1,20.2,12.4,20.1,8.6,13.7,9.4,5.7,16.1,10,41.5,9,21.6,10.2,10.9,10.1,8.6,19,-,-,-,-,-,-
1391,Urban,15.9,11.4,11.5,11.6,14.1,12.7,13.4,9.2,11.8,13,10,7.6,12,11.5,9,10.2,18.1,12.9,23.4,23.7,23.8,16.3,24,11.8,16.7,11.5,7.5,18.2,12.1,44.7,11.9,23.8,13.4,16,13.5,11.9,22.5,-,-,-,-,-,-
1392,Urban,20.9,16.5,16.5,16.7,18.9,16.9,17.6,13.3,15.5,19.5,15.7,13.9,16.4,16.9,13.8,16,23,18.3,28.1,28.9,29,21.6,25.8,17.1,23.2,15.4,10.8,21.8,16.4,49.6,16.6,27,18,19.9,18.3,16.5,27.8,-,-,-,-,-,-
1393,Urban,24,18.1,18.1,18.3,21.1,18,18.5,15.4,17.7,21.3,17.2,14.9,18.5,19.6,15.3,16.4,27,21.2,33.1,33.8,33.9,25.7,32.1,19,28,19,12.4,28.9,21.3,52.1,19.2,31.5,21.3,21.9,20.9,18.7,32.6,-,-,-,-,-,-
1394,Urban,26.8,19.9,19.9,20.1,24,18.9,19.2,17.4,19.4,22,19.9,16.3,20.3,21.2,16.6,16.9,30.2,23,37.9,37.6,37.7,28.8,43.2,20.2,32.2,20.9,12.5,33.1,25.8,53.7,21.2,36.6,24.1,23.5,23.3,20.6,36.6,-,-,-,-,-,-
1395,Urban,28.6,21.4,21.4,21.6,26.1,20.9,21.3,18.8,20.5,23.1,19.8,17.9,22,22.4,18,18.9,32.2,24.4,40.2,39.4,39.5,31.1,48.4,21.1,35.2,22,12.8,34.5,28.7,54.4,22.3,41.3,26.2,25.9,25,22.1,38.9,14.9,23.9,21.9,19.9,23.8,52.9
1396,Urban,30.9,24,24.1,24.3,28.3,24.1,24.8,19.8,22.5,25.5,22,22.7,23.4,23.8,19.9,20.2,34.3,25.9,43.1,42.1,42.2,33.2,53.2,22.2,37.7,23.1,13.4,35.7,31.1,56,24,45.8,28,28,27.2,24.2,41.6,15.7,26.3,23.3,23.2,25.7,56
