"","a_HHID","a_year","a_ID","calc_EqSize","calc_real.decile","calc_nom.decile","calc_poverty.line","calc_final.poor","calc_poverty.gap","calc_povery.intensity"
"1",10001000126,"1396","139610001000126",1,"9","9",4949129.06404263,0,NA,NA
"2",10001000127,"1396","139610001000127",2.9,"4","4",4949129.06404263,0,NA,NA
"3",10001000132,"1396","139610001000132",1.7,"6","6",4949129.06404263,0,NA,NA
"4",10001000135,"1396","139610001000135",1.7,"7","7",4949129.06404263,0,NA,NA
"5",10001000138,"1396","139610001000138",1.7,"9","9",4949129.06404263,0,NA,NA
"6",10001000141,"1396","139610001000141",2.9,"5","5",4949129.06404263,0,NA,NA
"7",10001000226,"1396","139610001000226",1.7,"9","8",4949129.06404263,0,NA,NA
"8",10001000229,"1396","139610001000229",2.4,"8","7",4949129.06404263,0,NA,NA
"9",10001000232,"1396","139610001000232",2.4,"9","8",4949129.06404263,0,NA,NA
"10",10001000235,"1396","139610001000235",2.7,"7","6",4949129.06404263,0,NA,NA
"11",10001000238,"1396","139610001000238",1,"9","9",4949129.06404263,0,NA,NA
"12",10001000241,"1396","139610001000241",1,"5","5",4949129.06404263,0,NA,NA
"13",10001000326,"1396","139610001000326",3.8,"3","3",4949129.06404263,1,0.112716417436839,0.0127049907597957
"14",10001000327,"1396","139610001000327",1.7,"10","10",4949129.06404263,0,NA,NA
"15",10001000334,"1396","139610001000334",3.1,"8","7",4949129.06404263,0,NA,NA
"16",10001000335,"1396","139610001000335",1.7,"7","6",4949129.06404263,0,NA,NA
"17",10001000338,"1396","139610001000338",1.7,"10","9",4949129.06404263,0,NA,NA
"18",10001000341,"1396","139610001000341",3.1,"7","7",4949129.06404263,0,NA,NA
"19",10001000426,"1396","139610001000426",2.2,"9","8",4949129.06404263,0,NA,NA
"20",10001000429,"1396","139610001000429",3.9,"2","3",4949129.06404263,1,0.131684984168484,0.0173409350554539
"21",10001000431,"1396","139610001000431",2.2,"7","7",4949129.06404263,0,NA,NA
"22",10001000435,"1396","139610001000435",2.2,"8","7",4949129.06404263,0,NA,NA
"23",10001000438,"1396","139610001000438",1.7,"7","7",4949129.06404263,0,NA,NA
"24",10001000441,"1396","139610001000441",2.9,"6","6",4949129.06404263,0,NA,NA
"25",10001000525,"1396","139610001000525",1.7,"5","5",4949129.06404263,0,NA,NA
"26",10001000529,"1396","139610001000529",2.9,"8","7",4949129.06404263,0,NA,NA
"27",10001000535,"1396","139610001000535",3.1,"5","5",4949129.06404263,0,NA,NA
"28",10001000536,"1396","139610001000536",2.4,"8","8",4949129.06404263,0,NA,NA
"29",10001000538,"1396","139610001000538",1.7,"6","6",4949129.06404263,0,NA,NA
"30",10001000541,"1396","139610001000541",1.7,"8","8",4949129.06404263,0,NA,NA
"31",10001000626,"1396","139610001000626",4.5,"2","3",4949129.06404263,1,0.142999778533722,0.0204489366606935
"32",10001000629,"1396","139610001000629",2.7,"6","6",4949129.06404263,0,NA,NA
"33",10001000632,"1396","139610001000632",3.1,"2","2",4949129.06404263,1,0.200246049727312,0.040098480431393
"34",10001000635,"1396","139610001000635",2.4,"6","6",4949129.06404263,0,NA,NA
"35",10001000638,"1396","139610001000638",3.1,"7","7",4949129.06404263,0,NA,NA
