"","ProvinceName","Total_Exp_per","Total_Exp_per_Real","Net_Inc_per_Real","Cum_Total_Exp_per_Real","Cum_Net_Inc_per_Real","Year"
"1","Markazi",65887273.1423929,32105160.3765825,25139395.5714319,16077782739186.9,12589432211239.6,"1402"
"2","Gilan",58420482.2401402,28398468.0050312,25470688.0545264,26187760864711.5,23487896872233.7,"1402"
"3","Mazandaran",73847808.3706706,35753791.0960705,33977264.6131357,43767038017895.1,41592351090025.5,"1402"
"4","East Azarbaijan",49199703.8050914,23974761.3015154,28765905.8333246,32687908801325.1,39220298990329.8,"1402"
"5","West Azarbaijan",36516307.2668777,17771084.1243504,20815623.3220282,19017228085318.1,22275256460615.4,"1402"
"6","Kermanshah",54380406.3063726,26550083.956829,22792272.259565,17073535940034,14657003729686.2,"1402"
"7","Khuzestan",55083955.8184565,26904084.3998527,26717140.8913729,40692104805764.5,40409354992511,"1402"
"8","Fars",74367889.0603537,36232189.8359421,28775726.6664377,59290826466003.5,47088973201405.3,"1402"
"9","Kerman",38365423.9692115,18628236.3210522,22532555.4605886,20480423230218.2,24772944917479.5,"1402"
"10","Razavi Khorasan",52775234.5850155,25731815.804243,22770005.8682313,57406574591186.5,50798903981771.7,"1402"
"11","Esfahan",68660761.823955,33562778.7651937,30801140.548101,60165375595618.8,55214802171617.7,"1402"
"12","Sistan and Baluchistan",33979469.0983388,16511639.5995186,13466572.9713043,14334877127834.8,11691247723351.4,"1402"
"13","Kurdistan",53095796.905202,25868774.6694269,23836352.6854836,14045166650244,12941685490703.8,"1402"
"14","Hamadan",63134341.6539119,30706714.0764343,26355016.033888,18115794449961.4,15548457969384.7,"1402"
"15","Chahar Mahaal and Bakhtiari",65294068.3962483,31762769.2603376,32329723.1733483,9817109671908.08,9992341519525.78,"1402"
"16","Lorestan",45307950.382132,22035602.8726555,18506406.0308735,12448551095246.4,10454805452615.3,"1402"
"17","Ilam",39703703.5763908,19336894.3511496,20449192.9913932,3594419269569.08,3801177790012.12,"1402"
