"","ProvinceCode","HHID","indiv.no","relationship","sex","age","nationality","residence.state","student","literate","edu.code","marrital.state","curr.job.year","curr.job.month","job.year","job.month","second.job.code","second.job.status","prev.job.code","prev.job.status","leaving.reason","not.ready.working","week.status","preference.type","preference.sec","weight","IW15_Yearly","activity.state","quarter","ProvinceName","Region","job.field","second.job.position","second.job.field","prev.job.position","prev.job.field","Year","ID"
"1",30,"9430101235",2,"Spouse","Female",29,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012352"
"2",30,"9430101235",3,"Child","Female",7,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.333,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012353"
"3",30,"9430101236",1,"Head","Male",31,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",2,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",4,"Alborz","Urban","General and Keyboard",NA,NA,NA,NA,1394,"139494301012361"
"4",30,"9430101236",2,"Spouse","Female",28,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012362"
"5",30,"9430101236",3,"Child","Male",10,"Iran","In-Iran",TRUE,TRUE,"Primary","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,150.45425,NA,"Inactive",4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012363"
"6",30,"9430101236",4,"Child","Male",2,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,4,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012364"
"7",30,"9430101237",1,"Head","Male",40,"Iran","In-Iran",FALSE,FALSE,NA,"Married",15,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",3,"Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1394,"139494301012371"
"8",30,"9430101237",2,"Spouse","Female",34,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012372"
"9",30,"9430101237",3,"Child","Female",14,"Iran","In-Iran",TRUE,TRUE,"Middle","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012373"
"10",30,"9430101237",4,"Child","Female",7,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.333,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012374"
"11",30,"9430101237",5,"Child","Male",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.30325,NA,NA,3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012375"
"12",30,"9430101238",1,"Head","Male",44,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",3,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45425,NA,"Employed",3,"Alborz","Urban","Agricultural, Forestry and Fishery Labourers",NA,NA,NA,NA,1394,"139494301012381"
"13",30,"9430101238",2,"Spouse","Female",43,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012382"
"14",30,"9430101238",3,"Child","Female",21,"Iran","In-Iran",TRUE,TRUE,"Bachelors","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,144.8045,NA,"Inactive",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012383"
"15",30,"9430101238",4,"Child","Male",18,"Iran","In-Iran",FALSE,TRUE,"High","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wage","Service",150.45425,NA,"Unemployed",3,"Alborz","Urban",NA,NA,NA,NA,NA,1394,"139494301012384"
