"","ProvinceCode","HHID","quarter","indiv.no","relationship","sex","age","nationality","residence.state","student","literate","edu.code","marrital.state","curr.job.year","curr.job.month","job.year","job.month","second.job.code","second.job.status","prev.job.code","prev.job.status","leaving.reason","not.ready.working","week.status","preference.type","preference.sec","weight","activity.state","ProvinceName","Region","job.field","second.job.position","second.job.field","prev.job.position","prev.job.field","Year","ID"
"1",30,"9830110827",3,2,"Spouse","Female",28,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,94.52705,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108272"
"2",30,"9830110827",3,3,"Child","Male",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.52705,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108273"
"3",30,"9830110827",3,4,"Child","Female",2,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.52705,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108274"
"4",30,"9830110828",1,1,"Head","Male",33,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",NA,NA,NA,NA,NA,NA,9629,"Owner","Others",NA,NA,"Self-business","Industry",86.585975,"Unemployed","Alborz","Urban",NA,NA,NA,"Unskilled workers","Others and Garbag",1398,"139898301108281"
"5",30,"9830110828",2,1,"Head","Male",34,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",NA,NA,NA,NA,NA,NA,5224,"Self-buss","Temporary job",NA,NA,"Wage","Service",84.64125,"Unemployed","Alborz","Urban",NA,NA,NA,"Sales and services employee","Sales",1398,"139898301108281"
"6",30,"9830110829",1,1,"Head","Male",59,"Iran","In-Iran",FALSE,TRUE,"Bachelors","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,74.74525,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108291"
"7",30,"9830110829",1,2,"Spouse","Female",53,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,74.74525,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108292"
"8",30,"9830110829",1,3,"Child","Female",24,"Iran","In-Iran",TRUE,TRUE,"Bachelors","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,74.74525,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108293"
"9",30,"9830110829",1,4,"Parent","Female",81,"Iran","In-Iran",FALSE,FALSE,NA,"Widowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,74.74525,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108294"
"10",30,"9830110829",2,1,"Head","Female",67,"Iran","In-Iran",FALSE,TRUE,"Primary","Widowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,75.2882,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108291"
"11",30,"9830110830",1,1,"Head","Male",42,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",20,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.120925,"Employed","Alborz","Urban","Market-oriented Skilled Agricultural",NA,NA,NA,NA,1398,"139898301108301"
"12",30,"9830110830",1,2,"Spouse","Female",44,"Iran","In-Iran",FALSE,TRUE,"Primary","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,96.120925,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108302"
"13",30,"9830110830",1,3,"Child","Male",16,"Iran","In-Iran",TRUE,TRUE,"High","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,96.120925,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108303"
"14",30,"9830110830",1,4,"Child","Female",11,"Iran","In-Iran",TRUE,TRUE,"Primary","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,96.120925,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108304"
"15",30,"9830110830",1,5,"Child","Male",6,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.120925,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108305"
"16",30,"9830110830",2,1,"Head","Female",68,"Iran","In-Iran",FALSE,TRUE,"Primary","Widowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,75.2882,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108301"
"17",30,"9830110831",1,1,"Head","Female",69,"Iran","In-Iran",FALSE,TRUE,"Primary","Divorced",18,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.050075,"Employed","Alborz","Urban","Sales",NA,NA,NA,NA,1398,"139898301108311"
"18",30,"9830110831",1,2,"Child","Female",34,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,77.050075,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108312"
"19",30,"9830110831",1,3,"Child","Female",23,"Iran","In-Iran",FALSE,TRUE,"Bachelors","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wage","Service",77.050075,"Unemployed","Alborz","Urban",NA,NA,NA,NA,NA,1398,"139898301108313"
